
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000463                       # Number of seconds simulated (Second)
simTicks                                    463199500                       # Number of ticks simulated (Tick)
finalTick                                   463199500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     37.28                       # Real time elapsed on the host (Second)
hostTickRate                                 12423330                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1174132                       # Number of bytes of host memory used (Byte)
simInsts                                       253766                       # Number of instructions simulated (Count)
simOps                                         375006                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                     6806                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      10058                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                          919331                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              6.540023                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.152905                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                         320824                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                    1698                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                        524561                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                   298                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined               79131                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined           130414                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                729                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples             610231                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              0.859611                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             1.717221                       # Number of insts issued each cycle (Count)
system.ruby.L0Cache_Controller.IS.Data   |          30     18.29%     18.29% |          47     28.66%     46.95% |          42     25.61%     72.56% |          45     27.44%    100.00% (Unspecified)
system.ruby.L0Cache_Controller.IS.Data::total          164                       (Unspecified)
system.ruby.L0Cache_Controller.IS.Data_Exclusive |       32053     25.19%     25.19% |       31725     24.94%     50.13% |       31726     24.94%     75.07% |       31724     24.93%    100.00% (Unspecified)
system.ruby.L0Cache_Controller.IS.Data_Exclusive::total       127228                       (Unspecified)
system.ruby.L0Cache_Controller.IM.InvElse |           0      0.00%      0.00% |           1    100.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% (Unspecified)
system.ruby.L0Cache_Controller.IM.InvElse::total            1                       (Unspecified)
system.ruby.L0Cache_Controller.IM.Data_Exclusive |         422     63.94%     63.94% |          81     12.27%     76.21% |          77     11.67%     87.88% |          80     12.12%    100.00% (Unspecified)
system.ruby.L0Cache_Controller.IM.Data_Exclusive::total          660                       (Unspecified)
system.ruby.L0Cache_Controller.SM.InvElse |           2     12.50%     12.50% |           5     31.25%     43.75% |           3     18.75%     62.50% |           6     37.50%    100.00% (Unspecified)
system.ruby.L0Cache_Controller.SM.InvElse::total           16                       (Unspecified)
system.ruby.L0Cache_Controller.SM.Data_Exclusive |          12     25.00%     25.00% |          12     25.00%     50.00% |          12     25.00%     75.00% |          12     25.00%    100.00% (Unspecified)
system.ruby.L0Cache_Controller.SM.Data_Exclusive::total           48                       (Unspecified)
system.ruby.L1Cache_Controller.Load      |       34050     26.17%     26.17% |       32025     24.61%     50.78% |       32035     24.62%     75.39% |       32019     24.61%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.Load::total       130129                       (Unspecified)
system.ruby.L1Cache_Controller.Store     |         435     60.92%     60.92% |          96     13.45%     74.37% |          90     12.61%     86.97% |          93     13.03%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.Store::total          714                       (Unspecified)
system.ruby.L1Cache_Controller.WriteBack |       32941     25.97%     25.97% |       31299     24.68%     50.65% |       31292     24.67%     75.33% |       31293     24.67%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.WriteBack::total       126825                       (Unspecified)
system.ruby.L1Cache_Controller.L0_DataAck |          48     38.71%     38.71% |          23     18.55%     57.26% |          25     20.16%     77.42% |          28     22.58%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.L0_DataAck::total          124                       (Unspecified)
system.ruby.L1Cache_Controller.Inv       |        4348     33.37%     33.37% |        4262     32.71%     66.08% |        1732     13.29%     79.38% |        2687     20.62%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.Inv::total        13029                       (Unspecified)
system.ruby.L1Cache_Controller.L0_Invalidate_Own |         416     50.12%     50.12% |         110     13.25%     63.37% |         206     24.82%     88.19% |          98     11.81%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.L0_Invalidate_Own::total          830                       (Unspecified)
system.ruby.L1Cache_Controller.L0_Invalidate_Else |         756     60.38%     60.38% |         178     14.22%     74.60% |         128     10.22%     84.82% |         190     15.18%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.L0_Invalidate_Else::total         1252                       (Unspecified)
system.ruby.L1Cache_Controller.L1_Replacement |       22111     23.80%     23.80% |       23571     25.37%     49.18% |       24218     26.07%     75.25% |       22992     24.75%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.L1_Replacement::total        92892                       (Unspecified)
system.ruby.L1Cache_Controller.Fwd_GETX  |          12     20.69%     20.69% |          12     20.69%     41.38% |          15     25.86%     67.24% |          19     32.76%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.Fwd_GETX::total           58                       (Unspecified)
system.ruby.L1Cache_Controller.Fwd_GETS  |          70     38.46%     38.46% |          59     32.42%     70.88% |          33     18.13%     89.01% |          20     10.99%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.Fwd_GETS::total          182                       (Unspecified)
system.ruby.L1Cache_Controller.Data      |           0      0.00%      0.00% |           1     20.00%     20.00% |           1     20.00%     40.00% |           3     60.00%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.Data::total            5                       (Unspecified)
system.ruby.L1Cache_Controller.Data_Exclusive |       33743     26.16%     26.16% |       31770     24.63%     50.79% |       31749     24.61%     75.40% |       31736     24.60%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.Data_Exclusive::total       128998                       (Unspecified)
system.ruby.L1Cache_Controller.DataS_fromL1 |          17      9.34%      9.34% |          52     28.57%     37.91% |          67     36.81%     74.73% |          46     25.27%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.DataS_fromL1::total          182                       (Unspecified)
system.ruby.L1Cache_Controller.Data_all_Acks |         469     35.34%     35.34% |         267     20.12%     55.46% |         283     21.33%     76.79% |         308     23.21%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.Data_all_Acks::total         1327                       (Unspecified)
system.ruby.L1Cache_Controller.L0_Ack    |         538     58.67%     58.67% |         121     13.20%     71.86% |         142     15.49%     87.35% |         116     12.65%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.L0_Ack::total          917                       (Unspecified)
system.ruby.L1Cache_Controller.Ack       |          16     21.92%     21.92% |          17     23.29%     45.21% |          20     27.40%     72.60% |          20     27.40%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.Ack::total           73                       (Unspecified)
system.ruby.L1Cache_Controller.Ack_all   |          13     23.21%     23.21% |          14     25.00%     48.21% |          14     25.00%     73.21% |          15     26.79%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.Ack_all::total           56                       (Unspecified)
system.ruby.L1Cache_Controller.WB_Ack    |       22083     23.84%     23.84% |       23489     25.36%     49.20% |       24113     26.03%     75.23% |       22942     24.77%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.WB_Ack::total        92627                       (Unspecified)
system.ruby.L1Cache_Controller.I.Load    |       33810     26.04%     26.04% |       32010     24.65%     50.69% |       32024     24.66%     75.35% |       32013     24.65%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.I.Load::total       129857                       (Unspecified)
system.ruby.L1Cache_Controller.I.Store   |         418     64.91%     64.91% |          77     11.96%     76.86% |          74     11.49%     88.35% |          75     11.65%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.I.Store::total          644                       (Unspecified)
system.ruby.L1Cache_Controller.I.Inv     |          22     10.43%     10.43% |          76     36.02%     46.45% |          77     36.49%     82.94% |          36     17.06%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.I.Inv::total          211                       (Unspecified)
system.ruby.L1Cache_Controller.S.Load    |           4    100.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.S.Load::total            4                       (Unspecified)
system.ruby.L1Cache_Controller.S.Store   |          13     22.41%     22.41% |          14     24.14%     46.55% |          14     24.14%     70.69% |          17     29.31%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.S.Store::total           58                       (Unspecified)
system.ruby.L1Cache_Controller.S.L0_Invalidate_Own |          14      6.36%      6.36% |          54     24.55%     30.91% |         103     46.82%     77.73% |          49     22.27%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.S.L0_Invalidate_Own::total          220                       (Unspecified)
system.ruby.L1Cache_Controller.S.L0_Invalidate_Else |          21     21.00%     21.00% |          15     15.00%     36.00% |          14     14.00%     50.00% |          50     50.00%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.S.L0_Invalidate_Else::total          100                       (Unspecified)
system.ruby.L1Cache_Controller.SS.Load   |          18     40.91%     40.91% |          13     29.55%     70.45% |           9     20.45%     90.91% |           4      9.09%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.SS.Load::total           44                       (Unspecified)
system.ruby.L1Cache_Controller.SS.Store  |           1     25.00%     25.00% |           2     50.00%     75.00% |           1     25.00%    100.00% |           0      0.00%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.SS.Store::total            4                       (Unspecified)
system.ruby.L1Cache_Controller.SS.Inv    |          56     34.57%     34.57% |          27     16.67%     51.23% |          23     14.20%     65.43% |          56     34.57%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.SS.Inv::total          162                       (Unspecified)
system.ruby.L1Cache_Controller.SS.L1_Replacement |          28     10.57%     10.57% |          82     30.94%     41.51% |         105     39.62%     81.13% |          50     18.87%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.SS.L1_Replacement::total          265                       (Unspecified)
system.ruby.L1Cache_Controller.E.WriteBack |       32492     25.72%     25.72% |       31282     24.76%     50.48% |       31276     24.76%     75.24% |       31277     24.76%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.E.WriteBack::total       126327                       (Unspecified)
system.ruby.L1Cache_Controller.E.L0_Invalidate_Own |         169     99.41%     99.41% |           1      0.59%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.E.L0_Invalidate_Own::total          170                       (Unspecified)
system.ruby.L1Cache_Controller.E.L0_Invalidate_Else |         260     75.36%     75.36% |          48     13.91%     89.28% |          24      6.96%     96.23% |          13      3.77%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.E.L0_Invalidate_Else::total          345                       (Unspecified)
system.ruby.L1Cache_Controller.EE.Inv    |         237     99.58%     99.58% |           0      0.00%     99.58% |           0      0.00%     99.58% |           1      0.42%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.EE.Inv::total          238                       (Unspecified)
system.ruby.L1Cache_Controller.EE.L1_Replacement |         169     99.41%     99.41% |           1      0.59%    100.00% |           0      0.00%    100.00% |           0      0.00%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.EE.L1_Replacement::total          170                       (Unspecified)
system.ruby.L1Cache_Controller.EE.Fwd_GETX |           0      0.00%      0.00% |           0      0.00%      0.00% |           1     50.00%     50.00% |           1     50.00%    100.00% (Unspecified)
system.ruby.L1Cache_Controller.EE.Fwd_GETX::total            2                       (Unspecified)
system.ruby.L1Cache_Controller.EE.Fwd_GETS |          22     21.57%     21.57% |          48     47.06%     68.63% |          22     21.57%     90.20% |          10      9.80%    100.00% (Unspecified)
